id,session_id,iki_variance,backspace_ratio,dwell_time,mouse_activity,app_switch_rate,fatigue_label
815,73251e5a,0.3374,0.0,0.0976,1766,46,8
816,73251e5a,1.2552,0.0,0.1772,1766,46,8
817,73251e5a,0.0105,0.0,0.102,1766,46,8
818,73251e5a,6.9569,0.0,0.2872,1766,46,8
819,73251e5a,0.2174,0.0,0.1391,1766,46,8
820,73251e5a,0.3024,0.0,0.1354,1766,46,8
821,73251e5a,6.7131,0.0,0.2681,1766,46,8
822,73251e5a,0.0255,0.0,0.1072,1766,46,8
823,73251e5a,1.253,0.0,0.1415,1766,46,8
824,73251e5a,3.8278,0.0,0.1833,1766,46,8
825,73251e5a,0.0157,0.0,0.1016,1766,46,8
826,73251e5a,0.0332,0.1,0.1015,1766,46,8
827,73251e5a,0.0515,0.0,0.0973,1766,46,8
828,73251e5a,0.0196,0.0,0.1082,1766,46,8
829,73251e5a,0.0156,0.0,0.1013,1766,46,8
830,73251e5a,0.0168,0.0,0.099,1766,46,8
831,73251e5a,0.007,0.0,0.1007,1766,46,8
832,dcfcc7be,0.1446,0.0,0.1183,1695,38,7
833,dcfcc7be,0.0505,0.1,0.1005,1695,38,7
834,dcfcc7be,0.0251,0.0,0.102,1695,38,7
835,dcfcc7be,0.0062,0.0,0.098,1695,38,7
836,dcfcc7be,0.0087,0.0,0.0964,1695,38,7
837,dcfcc7be,0.0668,0.0,0.0972,1695,38,7
